batch,batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
2,1,car-hero,224,Toyota Corolla 2014,toyota-corolla-2014,toyota-corolla-2014,/cars/vehicle/toyota-corolla-2014/,/assets/img/cars/toyota/corolla/2014/,toyota-corolla-2014-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Corolla 2014. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a sedan, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan. Use WebP to match current car mediaLibrary convention.
2,2,car-hero,224,Toyota RAV4 2014,toyota-rav4-2014,toyota-rav4-2014,/cars/vehicle/toyota-rav4-2014/,/assets/img/cars/toyota/rav4/2014/,toyota-rav4-2014-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota RAV4 2014. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a suv, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv. Use WebP to match current car mediaLibrary convention.
2,3,car-hero,223,Toyota Prado 2013,toyota-prado-2013,toyota-prado-2013,/cars/vehicle/toyota-prado-2013/,/assets/img/cars/toyota/prado/2013/,toyota-prado-2013-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Prado 2013. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a suv, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv. Use WebP to match current car mediaLibrary convention.
2,4,car-hero,223,Toyota Vitz / Yaris 2013,toyota-vitz-yaris-2013,toyota-vitz-yaris-2013,/cars/vehicle/toyota-vitz-yaris-2013/,/assets/img/cars/toyota/vitz-yaris/2013/,toyota-vitz-yaris-2013-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Vitz / Yaris 2013. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a hatchback, 16:10 crop.",Car detail hero and listing thumbnail. Body type=hatchback. Use WebP to match current car mediaLibrary convention.
2,5,car-hero,222,BMW 3 Series 2012,bmw-3-series-2012,bmw-3-series-2012,/cars/vehicle/bmw-3-series-2012/,/assets/img/cars/bmw/3-series/2012/,bmw-3-series-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a BMW 3 Series 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a sedan, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan. Use WebP to match current car mediaLibrary convention.
2,6,car-hero,222,Land Rover Range Rover Sport 2012,land-rover-range-rover-sport-2012,land-rover-range-rover-sport-2012,/cars/vehicle/land-rover-range-rover-sport-2012/,/assets/img/cars/land-rover/range-rover-sport/2012/,land-rover-range-rover-sport-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Land Rover Range Rover Sport 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a suv, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv. Use WebP to match current car mediaLibrary convention.
2,7,car-hero,222,Toyota Corolla 2012,toyota-corolla-2012,toyota-corolla-2012,/cars/vehicle/toyota-corolla-2012/,/assets/img/cars/toyota/corolla/2012/,toyota-corolla-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Corolla 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a sedan, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan. Use WebP to match current car mediaLibrary convention.
2,8,car-hero,222,Toyota Hilux 2012,toyota-hilux-2012,toyota-hilux-2012,/cars/vehicle/toyota-hilux-2012/,/assets/img/cars/toyota/hilux/2012/,toyota-hilux-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Hilux 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a pickup, 16:10 crop.",Car detail hero and listing thumbnail. Body type=pickup. Use WebP to match current car mediaLibrary convention.
2,9,car-hero,222,Toyota Land Cruiser 2012,toyota-land-cruiser-2012,toyota-land-cruiser-2012,/cars/vehicle/toyota-land-cruiser-2012/,/assets/img/cars/toyota/land-cruiser/2012/,toyota-land-cruiser-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Land Cruiser 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a suv, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv. Use WebP to match current car mediaLibrary convention.
2,10,car-hero,222,Toyota Noah / Voxy 2012,toyota-noah-2012,toyota-noah-2012,/cars/vehicle/toyota-noah-2012/,/assets/img/cars/toyota/noah/2012/,toyota-noah-2012-hero.webp,800x500,WebP,"Create a clean catalogue-style vehicle hero image for a Toyota Noah / Voxy 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, accurate body shape for a mpv, 16:10 crop.",Car detail hero and listing thumbnail. Body type=mpv. Use WebP to match current car mediaLibrary convention.
