route,relPath,family,score,issues,evidence
"/404.html","404.html","(root)","20","sub16_form_controls","404.html .search-btn sets control text to 14px."
"/african/","african/index.html","african","20","tap_targets_below_44","african/index.html .cta-link is likely about 40.9px tall."
"/agriculture/pesticide-dosage/","agriculture/pesticide-dosage/index.html","agriculture","20","tap_targets_below_44","agriculture/pesticide-dosage/index.html .toggle-slider::before is likely about 16px tall."
"/all-tools/","all-tools/index.html","all-tools","20","sub16_form_controls","all-tools/index.html .search-icon sets control text to 14.4px."
"/auth/login.html","auth/login.html","auth","24","custom_mobile_nav_search","auth/login.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/blog/comparatif-salaires-afrique-francophone/","blog/comparatif-salaires-afrique-francophone/index.html","blog","24","custom_mobile_nav_search","blog/comparatif-salaires-afrique-francophone/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/blog/francophone-africa-tax-guide-2026/","blog/francophone-africa-tax-guide-2026/index.html","blog","24","custom_mobile_nav_search","blog/francophone-africa-tax-guide-2026/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/business/break-even/","business/break-even/index.html","business","24","custom_mobile_nav_search","business/break-even/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/business/","business/index.html","business","24","custom_mobile_nav_search","business/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/business/invoice/","business/invoice/index.html","business","24","custom_mobile_nav_search","business/invoice/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/business/payroll/","business/payroll/index.html","business","24","custom_mobile_nav_search","business/payroll/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/business/setup/","business/setup/index.html","business","24","custom_mobile_nav_search","business/setup/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/cabo-verde/","cabo-verde/index.html","cabo-verde","24","custom_mobile_nav_search","cabo-verde/index.html Page uses custom mobile chrome tokens: search-input, filter-bar."
"/changelog/","changelog/index.html","changelog","22","late_multicolumn_collapse","changelog/index.html .content keeps 2 columns until 760px."
"/climate/","climate/index.html","climate","20","tap_targets_below_44","assets/css/climate.css .cl-pathway-result-grid a,.cl-pathway-sequence a is likely about 41.2px tall."
"/contact/","contact/index.html","contact","20","sub16_form_controls","contact/index.html .form-card-sub sets control text to 13.1px."
"/crypto/dca-calculator/","crypto/dca-calculator/index.html","crypto","44","tap_targets_below_44|late_multicolumn_collapse","crypto/dca-calculator/index.html .btn-calculate is likely about 43.2px tall. || crypto/dca-calculator/index.html .btn-calculate .spinner is likely about 16px tall. || crypto/dca-calculator/index.html .dca-summary-grid keeps 2 columns until 480px."
"/crypto/exchange-ratings/","crypto/exchange-ratings/index.html","crypto","22","late_multicolumn_collapse","crypto/exchange-ratings/index.html .detail-info-grid keeps 2 columns until 480px."
"/crypto/portfolio/","crypto/portfolio/index.html","crypto","20","tap_targets_below_44","crypto/portfolio/index.html .btn-add-coin is likely about 39.2px tall."
"/crypto/prices/","crypto/prices/index.html","crypto","22","late_multicolumn_collapse","assets/css/crypto.css .coin-detail-stats keeps 2 columns until no collapse rule."
